"Country","Stage","dim3","CostItem","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"AT000000","COCO2","UVAP","EFUL",461.458589,494.92506,362.72106,331.479326,319.331001,341.608997,346.237199,390.616458,392.850006,469.302298,486.7,552.3,566.4,567.2,524,530.5,649,622.8,597.1,606.5,673.6,790.2,841,861.8,1030,808.5,851.034561
"AT000000","COCO2","UVAP","EGAS",258.70579,272.298586,161.768166,149.35538,147.114381,177.357757,197.006905,203.629045,196.324457,212.086641,203.387558,205.369454,238.328243,243.289795,225.2,247.8,374.3,345.2,318.7,328.2,396.5,508.1,571,553.3,721,515,564.331498
"AT000000","COCO2","UVAP","ELEC",816.843037,824.399609,808.884726,796.962758,796.849078,808.757508,667.137524,676.949773,689.14055,729.060059,736.366919,795.891932,801.972281,802.959095,787.578603,796.706169,942.527496,963.224127,934.954215,944.456089,969.776472,1000,1035.750651,1130.314677,1149.393867,1198.011599,1130.276343
"AT000000","COCO2","UVAP","ELUB",711.616322,713.22256,702.575478,693.848564,689.057409,723.437994,718.035297,711.795173,715.403084,695.04254,688.386048,714.819614,733.0872,734.460366,697.515825,692.880588,796.231081,789.712568,740.521564,889.815597,899.357013,1000,1113.852818,1164.714319,1389.745108,1201.768043,1249.848598
"AT000000","COCO2","UVAP","FENE",,,228.4,151.9,141,126.5,126.8,119.6,114.7,122,124.5,96.3,100.1,97.3,78.9,82.7,89.8,92.1,87.8,105.4,93.5,56,64.5,112.4,123.5,70.5,
"AT000000","COCO2","UVAP","FPRO",,,,,,,,,,,403.2,464.6,537.5,622.1,674,436.3,519.6,,,,,,,,,,
"AT000000","COCO2","UVAP","ICAF",182.901091,185.25834,182.823764,199.957911,226.710414,245.852763,198.833749,170.770306,183.678546,198.935754,206.837969,,,,,,,,,,,,,,170.292527,171.304194,171.947228
"AT000000","COCO2","UVAP","INPO",885.130123,903.036721,911.44789,914.581176,890.359681,903.78527,944.459801,972.85625,1018.698892,1071.988058,1059.975085,1057.212016,1018.477903,1014.485308,1019.014392,990.052486,1033.170718,1023.611491,977.356977,978.937087,997.70654,1000,981.72395,989.507856,1039.204259,1049.261976,1067.355403
"AT000000","COCO2","UVAP","IPHA",747.904716,765.802069,764.546352,771.635424,792.433091,805.885461,792.498326,799.065421,827.131418,863.154294,859.68795,915.252253,904.323505,879.731993,932.540565,942.579405,940.668203,940.656852,943.469786,987.760238,996.249724,1000,1006.69888,1012.901162,1227.977362,1269.777889,1313.335014
"AT000000","COCO2","UVAP","NITF",,,,239.3,253.7,239.8,244.1,255.6,272.5,300,,,,,,,,,,,,,,,,,
"AT000000","COCO2","UVAP","PLAP",972.568274,990.775912,990.894662,998.101663,990.770291,992.470137,1144.35591,1148.5542,1204.883939,1296.895728,1279.326599,1225.832767,1113.909186,1048.5482,1044.052863,1006.512537,1028.829018,1005.122732,1005.071462,1012.310398,1001.045053,1000,1006.043956,1016.218857,1070.943862,1219.816078,1324.215291
"AT000000","COCO2","UVAP","POTF",,,,,,,,,,,,166.1,162.7,152.2,153.4,160.1,164.6,,177,181.5,184.4,198.9,214.7,231.2,428.8,536.5,
"AT000000","COCO2","UVAP","REPB",685.883873,690.218495,689.929522,691.643624,694.676872,703.26336,617.107943,653.79293,701.094656,760.016522,794.369645,839.890474,837.385805,834.541399,847.890233,871.405229,881.057966,899.607587,917.987212,938.323054,975.42389,1000,974.102849,1008.961518,1049.341495,1068.177697,1116.827438
"AT000000","COCO2","UVAP","REPM",626.248952,637.435069,638.631098,643.474387,652.163938,661.289174,586.077214,609.797101,640.515083,696.508888,718.934723,765.719029,773.911016,766.692612,790.493469,803.975746,833.326491,855.829349,875.813105,905.817059,988.329212,1000,980.789619,1023.804362,1056.934689,1048.792993,1092.782641
