"Country","dim2","CostItem","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"AT000000","CAMF","IPHA",,,,,,,7.879488,8.540205,8.381367,8.726514,8.415354,7.780887,6.997597,6.999729,6.700265,5.260937,7.223829,7.138952,7.582663,6.741447,6.930051,7.685933,9.195165,10.769775,8.110176,8.114697
"AT000000","CAMF","REPB",,,,,,,1.379257,1.522387,2.673375,1.587128,1.457108,1.520648,1.50662,1.258641,1.035454,0.760601,0.777179,0.904678,1.185476,0.969407,0.952947,0.911734,1.304345,1.275695,1.171399,1.453347
"AT000000","CAMF","REPM",,,,,,,2.872879,2.550508,7.530509,1.916033,3.960389,5.166606,5.656488,4.542051,3.635157,2.504016,0.968104,1.466421,3.391403,2.689063,3.130757,2.731293,5.900461,5.552169,4.696492,5.317969
"AT000000","CAMR","EGAS",,,,,,,0.041446,0.041349,0.041178,0.069505,0.069471,0.041224,0.069667,0.069754,0.06979,0.069793,0.041322,0.069925,0.070044,0.041416,0.041556,0.022124,0.022099,0.022181,0.022009,0.021952
"AT000000","CAMR","ELEC",,,,,,,3.341867,3.530994,4.427039,4.030973,4.072016,4.046307,4.39448,4.698195,4.366647,4.232047,3.176184,3.344073,3.350484,3.16704,3.385831,3.131902,3.813003,3.415174,3.636682,3.554533
"AT000000","CAMR","INPO",,,,,,,5.960368,6.317431,9.535368,6.554078,6.961985,8.209087,8.114425,7.336174,7.207211,7.051748,7.064338,6.984864,7.276212,7.200044,7.304677,7.500704,17.033399,8.088167,10.638767,15.806723
"AT000000","CAMR","IPHA",,,,,,,12.284017,13.430843,13.665622,14.179058,14.380267,14.033771,13.249079,13.775939,14.010952,13.353747,13.538824,12.714015,13.783433,13.199588,13.85251,14.585119,15.086085,15.572128,13.202053,13.153857
"AT000000","CAMR","REPB",,,,,,,1.723061,2.487431,5.237859,2.757102,3.444263,3.8075,4.187957,3.959232,3.719556,2.834567,1.370165,1.796993,3.063964,2.3838,2.443483,2.324108,3.627356,3.426407,3.217776,3.530804
"AT000000","CAMR","REPM",,,,,,,5.971066,5.306248,16.506679,4.685714,4.387159,7.278283,12.527114,11.40273,9.454166,4.343338,3.086761,2.803032,4.261634,2.789637,3.809754,2.807134,10.465658,9.009463,10.787978,12.589829
"AT000000","DCOH","EGAS",,,,,,,0.089108,0.0889,0.088533,0.149436,0.149362,0.088631,0.149782,0.14997,0.150049,0.150055,0.088845,0.15034,0.150596,0.089045,0.089346,0.047569,0.047516,0.047689,0.047323,0.047198
"AT000000","DCOH","ELEC",,,,,,,27.741199,28.81297,29.411796,31.72579,31.861984,32.076007,34.266478,36.060857,34.374288,34.127125,28.675359,29.714314,29.729343,28.869759,29.966074,28.439923,32.030923,29.793174,30.918086,30.432829
"AT000000","DCOH","INPO",,,,,,,15.571676,18.155734,23.029487,21.548538,24.403282,26.952015,29.560961,27.75596,27.42091,30.196419,30.643194,35.495516,36.170328,36.692137,37.591167,37.124782,103.144744,41.149056,77.083201,104.846431
"AT000000","DCOH","IPHA",,,,,,,31.862599,37.142504,37.697834,41.760168,44.216423,41.690765,43.084877,46.176294,47.352666,49.482461,50.301891,55.502676,59.491423,57.709412,61.605449,61.796544,65.588923,67.377177,60.568737,57.253835
"AT000000","DCOH","REPB",,,,,,,4.339363,6.85824,14.69419,8.924579,11.97395,12.502805,15.282037,15.051606,14.256997,12.281308,6.125641,9.205834,15.268544,12.36024,12.739943,11.640804,18.68906,17.589532,18.153307,18.409285
"AT000000","DCOH","REPM",,,,,,,15.599625,15.249685,36.418261,15.40572,15.377952,24.154951,45.687345,44.245913,37.644369,21.283288,13.389536,14.244381,22.738224,14.216268,22.1028,13.893926,56.35456,47.426495,63.072569,67.796516
"AT000000","DCOL","EGAS",,,,,,,0.076674,0.076496,0.076179,0.128585,0.128521,0.076264,0.128887,0.129046,0.129112,0.129116,0.076442,0.129361,0.129581,0.07662,0.076877,0.040929,0.040882,0.041034,0.040714,0.04061
"AT000000","DCOL","ELEC",,,,,,,23.870131,24.792661,25.307642,27.299003,27.416214,27.600285,29.486172,31.02958,29.57774,29.364916,24.672174,25.567918,25.580763,24.841119,25.784173,24.469848,27.558317,25.635618,26.599824,26.185326
"AT000000","DCOL","INPO",,,,,,,12.11113,14.121227,17.911606,16.760044,18.980434,20.962678,22.993254,21.58852,21.32721,23.48572,23.830388,27.607235,28.131922,28.537745,29.236452,28.871426,80.208129,32.004045,59.938008,81.541658
"AT000000","DCOL","IPHA",,,,,,,21.241233,24.761959,25.131388,27.840303,29.477878,27.793843,28.726112,30.785485,31.568045,32.987423,33.52719,37.00093,39.659666,38.471651,41.067713,41.189729,43.712035,44.91633,40.361929,38.164949
"AT000000","DCOL","REPB",,,,,,,3.375012,5.334225,11.428675,6.941368,9.313123,9.724404,11.88675,11.707104,11.08869,9.551972,4.763746,7.159992,11.8753,9.613323,9.908464,9.052891,14.533116,13.680415,14.115567,14.317356
"AT000000","DCOL","REPM",,,,,,,12.132868,11.860951,28.32497,11.982277,11.960694,18.787184,35.536759,34.414366,29.278728,16.553398,10.412682,11.078808,17.684937,11.056871,17.190407,10.805113,43.822823,36.886379,49.043684,52.727024
"AT000000","DWHE","EFUL",,,,,,,175.422028,175.606691,202.669018,166.04326,160.653585,125.253545,126.522923,122.331416,126.261608,127.867795,112.008692,116.151982,118.949273,126.504832,135.458639,116.09845,101.927034,103.694793,88.8781,100.008616
"AT000000","DWHE","EGAS",,,,,,,0.082891,0.082698,0.082356,0.139011,0.138942,0.082448,0.139335,0.139508,0.722062,0.139585,0.082644,0.139851,0.140089,0.082833,0.083112,0.044249,0.044199,0.044362,0.044018,0.043904
"AT000000","DWHE","ELEC",,,,,,,3.554995,2.997984,2.240156,2.681044,2.347367,2.225119,2.143454,2.214169,2.324862,2.6086,3.546038,2.887924,2.313857,2.648836,2.46535,2.517907,2.065291,2.123337,2.117066,2.068129
"AT000000","DWHE","ELUB",,,,,,,8.621244,9.720286,10.74472,12.597763,12.570939,13.308701,13.508798,13.543097,13.140121,13.427205,13.992957,13.754754,14.046807,11.924834,0.005438,7.91168,0.193313,0.411927,0.456649,0.458273
"AT000000","DWHE","INPO",,,,,,,419.980964,347.729072,348.185673,239.69685,279.489263,172.937368,179.31402,144.444479,144.88525,136.191243,98.775432,109.672268,109.375514,110.696775,118.063233,111.924238,67.282032,89.520492,67.482997,76.939961
"AT000000","DWHE","NITF",140.336825,140.536839,140.504853,139.245938,141.365631,143.257711,146.148221,147.759225,142.276221,147.165829,136.840353,136.321727,136.530111,137.050271,136.475473,139.166749,130.591329,133.163105,134.501505,131.141807,136.343517,136.545369,139.452489,129.916399,135.880503,115.620887
"AT000000","DWHE","PHOF",55.225303,56.2962,56.821182,56.881579,58.158365,59.683344,61.249869,60.981928,60.008757,62.886247,56.38579,55.571801,55.077361,55.068681,55.109864,57.187079,51.022169,53.506185,54.023158,53.632984,56.695992,54.730907,56.36808,51.746194,55.006309,44.24678
"AT000000","DWHE","PLAP",,,,,,,65.365157,57.779105,59.899864,45.47285,46.042158,31.672122,34.496218,36.66195,37.460965,38.616791,32.826061,37.217224,32.510425,27.464058,26.586843,26.273259,21.153515,26.430523,24.186695,22.465049
"AT000000","DWHE","POTF",104.353973,110.761869,117.28203,116.515141,123.741442,132.402017,142.78729,139.693068,136.888964,155.960844,115.872562,111.742965,109.819281,110.68181,110.856882,124.946767,89.645417,106.248062,109.26238,107.289995,126.132268,111.731348,123.003607,100.383358,127.009186,87.867611
"AT000000","DWHE","REPB",,,,,,,51.177729,40.003617,31.492064,28.33219,24.718855,19.347907,18.957471,16.72265,15.341974,13.068203,14.276712,13.470647,14.63118,12.343801,10.38445,10.070633,7.525084,9.741245,7.351662,7.783517
"AT000000","DWHE","REPM",,,,,,,317.252286,221.065685,175.25372,147.810658,151.660529,86.587299,81.951106,69.11622,64.781879,63.399135,53.20473,52.539639,53.017844,54.22054,49.61075,50.228299,31.206276,37.959421,28.931817,30.699663
"AT000000","DWHE","SEED",,,,,,,171.635705,147.197938,155.593944,113.452967,109.320825,57.437046,58.353947,51.822071,46.799049,44.14665,29.35107,29.57867,36.958446,38.33689,38.223824,36.44374,27.808824,32.920346,27.096412,26.771578
"AT000000","GRAE","EFUL",,,,,,,56.345267,47.485795,89.920063,66.610705,58.517337,47.588875,56.96181,60.323922,59.368486,60.723675,53.291826,59.891995,59.398971,57.847046,68.790165,41.816765,56.303434,49.612226,52.21625,57.035153
"AT000000","GRAE","ELEC",,,,,,,4.389334,4.389016,3.462333,4.387839,4.387508,4.356935,3.202391,3.756708,4.061355,4.390839,4.390671,4.390616,4.125716,4.391017,3.97999,4.391982,1.974866,2.318907,2.211635,2.061049
